,日付,開催,天 気,R,レース名,頭 数,枠 番,馬 番,オ ッ ズ,人 気,着 順,騎手,斤 量,距離,馬 場,タイム,着差,通過,ペース,上り,馬体重,勝ち馬 (2着馬)
22,2021/07/10,1函館3,雨,9,3歳以上2勝クラス,12,6,8,48.3,11,4,松田大作,57,ダ1000,稍,0:59.2,0.8,5-6,34.0-35.7,35.6,498(+4),ミスズグランドオー
23,2021/02/21,1東京8,晴,12,大島特別(2勝クラス),16,3,6,146.1,16,14,木幡巧也,57,ダ1400,良,1:26.4,2.0,1-1,35.7-36.5,38.5,494(-2),ケイアイビリジアン
24,2020/09/21,4中山5,晴,9,浦安特別(2勝クラス),16,2,4,57.9,11,14,木幡巧也,55,ダ1200,良,1:13.1,2.2,5-6,34.0-36.9,38.8,496(0),アヴォンリー
25,2020/08/16,2札幌2,晴,9,3歳以上2勝クラス,12,2,2,16.6,7,6,丹内祐次,54,ダ1000,稍,0:59.1,1.3,6-8,34.0-35.2,35.7,496(0),グラナリー
26,2020/08/02,1札幌4,晴,6,3歳以上1勝クラス,11,7,9,6.7,3,1,岩田康誠,54,ダ1000,良,0:59.1,-0.1,2-2,35.2-35.5,35.4,496(+6),(マティアス)
27,2020/04/12,3中山6,曇,4,3歳未勝利,16,6,11,2.8,1,1,木幡巧也,56,ダ1200,稍,1:12.0,-0.8,2-2,34.0-38.0,37.9,490(-2),(インプルソ)
28,2020/03/28,3中山1,曇,3,3歳未勝利,16,5,9,2.4,1,5,木幡巧也,56,ダ1200,良,1:12.7,0.5,1-1,33.9-38.3,38.8,492(-2),コルニリア
29,2020/03/07,2中山3,小雨,3,3歳未勝利,16,1,2,3.7,2,2,木幡巧也,56,ダ1200,良,1:12.5,0.3,1-1,34.0-38.2,38.5,494(+6),クロッチ
30,2019/12/01,5中山2,曇,1,2歳未勝利,16,1,2,3.0,1,7,石橋脩,55,ダ1200,良,1:13.8,1.3,1-1,34.7-37.8,39.1,488(+12),バウンティハンター
31,2019/11/03,5東京2,曇,6,2歳新馬,16,8,15,28.4,8,2,石橋脩,55,ダ1300,良,1:20.9,0.2,3-2,30.4-37.4,37.5,476(0),メートルムナール
