,日付,開催,天 気,R,レース名,頭 数,枠 番,馬 番,オ ッ ズ,人 気,着 順,騎手,斤 量,距離,馬 場,タイム,着差,通過,ペース,上り,馬体重,勝ち馬 (2着馬)
18,2023/04/19,大井,晴,9,C1五　六,14,8,14,17.1,6,6,本橋孝太,56,ダ1200,稍,1:13.1,0.4,11-11,35.0-37.7,36.7,473(+3),ジュディシャス
19,2023/03/29,大井,曇,9,C1五　六,15,4,6,5.4,4,5,矢野貴之,56,ダ1200,重,1:13.7,0.3,11-11,35.1-38.3,36.5,470(-3),トチノヒーロー
20,2023/03/07,大井,晴,9,C1四　五,11,5,5,6.2,4,4,矢野貴之,56,ダ1200,良,1:13.5,0.4,9-7,35.2-37.9,36.7,473(+1),グロリアスシティ
21,2023/02/23,大井,晴,9,C1五　六,14,6,9,16.6,4,4,本橋孝太,56,ダ1200,良,1:14.4,0.5,9-9,35.2-38.7,38.3,472(+2),ノースジャスティス
22,2023/01/25,大井,晴,10,C1五　六,16,4,7,15.6,5,5,本橋孝太,56,ダ1200,良,1:14.5,0.9,15-13,35.8-37.8,37.1,470(-2),ザッキング
23,2022/12/31,大井,晴,7,C1二　三四,13,8,14,18.8,6,5,藤本現暉,56,ダ1200,良,1:14.4,0.7,5-4,35.1-38.6,39.0,472(-3),フォルリチャード
24,2022/12/09,大井,曇,9,C1一　二三,16,8,16,8.1,4,9,矢野貴之,56,ダ1200,重,1:13.9,0.9,8-9,35.2-37.8,38.0,475(-6),セイブロッケン
25,2022/11/17,大井,曇,12,C1二　三四,14,6,9,4.1,1,6,矢野貴之,56,ダ1200,良,1:13.6,0.2,14-14,35.1-38.3,36.6,481(+10),プロスペロ
26,2022/11/03,大井,晴,9,C1一　二三,12,5,6,7.9,3,3,藤本現暉,56,ダ1200,良,1:13.4,0.4,9-9,35.5-37.5,37.1,471(0),アイアンサイズ
27,2022/07/28,大井,曇,9,音泉賞,12,6,8,4.8,1,3,藤本現暉,56,ダ1200,稍,1:12.7,0.4,5-5,35.4-36.9,36.8,471(+1),レジリエンスブルー
28,2022/06/30,大井,晴,9,C1二　三四,13,2,2,5.5,2,3,藤本現暉,56,ダ1200,良,1:13.0,0.8,4-4,35.6-36.6,37.0,470(-1),ラヴィッシュ
29,2022/05/25,大井,晴,9,C1五　六,14,4,6,6.4,2,1,矢野貴之,56,ダ1200,良,1:13.1,-0.1,11-11,35.3-37.8,36.5,471(-5),(スマートフレイ)
30,2022/04/19,大井,晴,9,C1五　六,16,1,2,5.2,2,5,矢野貴之,56,ダ1200,重,1:13.8,1.0,7-5,35.4-37.4,37.7,476(+1),ラルムオブダリア
31,2022/03/30,大井,曇,8,コモドール賞,13,5,8,3.3,2,2,矢野貴之,56,ダ1400,稍,1:28.2,0.6,5-6-3,37.6-37.8,38.0,475(0),グランツシチー
32,2022/03/08,大井,曇,9,C1八　九,16,6,12,15.2,7,3,矢野貴之,56,ダ1200,良,1:13.6,0.3,7-6,35.0-38.3,37.9,475(+7),マイネルラッジョ
33,2021/12/10,大井,晴,7,C1一　二三,14,6,10,17.1,7,8,今野忠成,56,ダ1400,重,1:29.4,1.4,7-5-5,36.7-38.9,39.8,468(-1),トゥーパンクス
34,2021/11/19,大井,晴,8,国際都市しながわ賞,14,1,1,9.2,4,5,今野忠成,56,ダ1200,良,1:14.3,0.4,9-7,35.3-38.6,38.4,469(+1),プログレッシブ
35,2021/11/05,大井,晴,8,C1二　三,14,6,10,9.2,3,6,山崎誠士,56,ダ1200,良,1:14.0,0.7,12-10,34.7-38.6,37.8,468(+2),キョウワセイヴァー
36,2021/10/08,大井,晴,9,ネットケイバアプリ秋,14,5,8,14.0,5,3,山崎誠士,56,ダ1200,良,1:12.9,0.0,10-9,34.9-38.0,36.8,466(+2),リコーバルカン
37,2021/09/22,大井,晴,8,C1二　三四,10,4,4,6.9,3,2,矢野貴之,56,ダ1400,良,1:27.4,0.2,8-7-7,36.7-38.4,37.9,464(-5),エスケイファースト
38,2021/09/09,大井,曇,9,2017ララベルJB,13,4,4,9.3,5,7,矢野貴之,56,ダ1200,不,1:15.1,1.0,8-8,35.6-38.5,39.0,469(+4),ヴァンルーチェ
39,2021/04/16,大井,曇,9,C1三　四五,15,3,5,12.8,7,10,千田洋,56,ダ1200,稍,1:14.7,1.3,11-10,35.5-37.9,37.9,465(+3),オーチャードロード
40,2021/03/26,大井,晴,7,C1一　二三,13,4,4,4.7,2,3,千田洋,56,ダ1400,良,1:28.2,0.8,6-5-5,36.9-38.1,38.3,462(+1),マイネルグアンチェ
41,2021/03/12,大井,曇,7,C1一　二三,16,1,2,15.3,6,5,千田洋,56,ダ1200,良,1:13.7,0.4,13-10,35.6-37.7,36.9,461(0),サンドスピーダー
42,2021/02/18,大井,晴,9,C1四　五,16,5,9,155.7,14,2,千田洋,56,ダ1200,稍,1:13.2,0.4,10-9,35.4-37.4,36.4,461(-1),エッジラッシュ
43,2021/01/20,大井,晴,8,C1四　五,13,7,11,64.7,11,13,櫻井光輔,56,ダ1600,良,1:45.9,2.9,5-3-4-7,37.1-41.1,43.9,462(+3),リングアベル
44,2020/12/24,大井,曇,9,クリスマスイブ特別競,12,7,10,33.2,9,6,櫻井光輔,56,ダ1800,良,1:57.8,0.4,5-5-4-4,38.7-39.7,39.8,459(+5),エスプリアンズ
45,2020/12/10,大井,晴,6,C1四　五六,14,8,14,15.2,7,9,桑村真明,56,ダ1600,良,1:43.9,1.7,11-11-12-10,37.5-38.9,40.2,454(+1),ジェイケイジーク
46,2020/11/19,大井,晴,8,C1四　五,14,1,1,4.6,2,11,桑村真明,56,ダ1600,良,1:44.2,2.2,4-5-3-3,37.2-39.5,41.5,453(-14),シェイクスピア
47,2020/11/05,大井,晴,8,クヌギ賞,14,3,3,1.5,1,6,矢野貴之,56,ダ1600,良,1:43.5,1.6,7-7-6-6,37.1-39.9,40.7,467(+11),ジュンユウコー
48,2020/09/05,2小倉7,曇,6,3歳未勝利,16,5,9,16.4,7,3,荻野極,56,ダ1700,良,1:45.8,0.8,7-7-3-2,29.5-37.3,37.6,456(+2),ゴールドパラディン
49,2020/08/29,2小倉5,晴,3,3歳未勝利,16,2,4,9.8,4,3,荻野極,56,ダ1700,良,1:46.9,0.4,6-7-6-6,30.2-39.1,38.8,454(0),ヨドノドリーム
50,2020/08/02,2新潟4,晴,4,3歳未勝利,15,6,11,12.9,7,5,荻野極,56,ダ1800,稍,1:54.4,1.5,5-5-4-4,36.3-37.9,39.0,454(0),クリノキングボス
51,2020/07/12,4阪神4,晴,2,3歳未勝利,16,6,12,45.4,12,3,荻野極,56,ダ1800,重,1:53.0,0.4,4-4-4-4,36.9-38.3,38.3,454(-10),ストークダバノン
52,2020/05/10,1新潟2,小雨,3,3歳未勝利,15,2,2,8.7,4,9,荻野極,56,ダ1800,稍,1:55.4,1.3,1-1-3-4,36.3-39.4,40.5,464(0),レーシングマインド
53,2020/04/19,2阪神8,曇,3,3歳未勝利,16,7,13,5.4,2,5,藤井勘一,56,ダ2000,重,2:09.4,0.7,2-1-3-5,37.4-38.5,38.9,464(+4),ソニックビースト
54,2019/12/01,5阪神2,晴,5,2歳新馬,8,4,4,4.3,3,4,藤井勘一,55,芝2000,良,2:02.4,0.7,4-4-4-3,35.8-35.2,35.2,460(0),バルンストック
