,日付,開催,天 気,R,レース名,頭 数,枠 番,馬 番,オ ッ ズ,人 気,着 順,騎手,斤 量,距離,馬 場,タイム,着差,通過,ペース,上り,馬体重,勝ち馬 (2着馬)
13,2021/08/14,4小倉1,雨,10,柳川特別(2勝クラス),10,3,3,21.8,8.0,3,幸英明,55,芝2000,不,2:05.4,0.3,4-3-4-4,35.8-37.8,37.9,440(-10),アリーヴォ
14,2021/07/18,3小倉6,晴,9,高千穂特別(2勝クラス),14,4,5,56.7,13.0,10,秋山真一,55,芝2000,良,1:59.8,0.9,8-9-11-12,35.2-34.8,34.7,450(+10),マリアエレーナ
15,2021/06/13,4中京4,曇,10,常滑特別(2勝クラス),11,8,10,11.9,6.0,11,荻野琢真,54,芝2000,稍,2:02.9,1.4,5-5-5-6,37.3-34.8,35.6,440(+4),メイショウロセツ
16,2020/11/23,5阪神7,晴,10,猪名川特別(2勝クラス),10,6,6,19.1,7.0,4,幸英明,53,芝2000,良,2:01.4,0.3,4-4-5-5,36.0-35.4,35.2,436(+4),プライドランド
17,2020/10/25,4京都6,晴,9,鳴滝特別(2勝クラス),13,6,9,38.4,8.0,8,幸英明,52,芝2200,良,2:15.7,1.3,1-1-2-2,36.9-34.7,35.9,432(+2),ヒートオンビート
18,2020/10/04,2中京9,曇,9,長久手特別(2勝クラス),10,1,1,7.5,3.0,2,幸英明,53,芝2000,良,2:00.5,0.0,3-3-3-3,36.9-35.2,35.0,430(+6),カントル
19,2020/09/13,2中京2,曇,7,3歳以上1勝クラス,10,8,9,4.6,2.0,1,幸英明,52,芝2000,良,2:02.6,-0.1,2-3-3-3,37.7-34.8,34.6,424(-18),(ダンディズム)
20,2020/08/22,2小倉3,曇,9,都井岬特別(1勝クラス),11,2,2,7.1,3.0,8,秋山真一,52,芝2000,良,2:00.5,0.7,4-3-4-7,35.1-35.7,36.2,442(+14),オールザワールド
21,2020/05/16,3京都7,雨,9,あずさ賞(1勝クラス),10,3,3,16.7,6.0,2,幸英明,54,芝2000,重,2:03.9,0.1,2-2-2-2,37.3-35.9,35.9,428(+2),ソニックベガ
22,2020/04/25,3京都1,晴,5,3歳未勝利,13,5,7,141.0,10.0,1,幸英明,54,芝2000,良,2:00.5,-0.1,3-3-3-3,36.0-35.3,35.0,426(-6),(サトノレガシー)
23,2020/04/11,2阪神5,晴,4,3歳未勝利,18,1,1,135.1,11.0,12,秋山真一,54,芝1400,良,1:23.4,1.4,12-15,34.9-35.3,35.4,432(-8),マイネルホイッスル
24,2020/03/28,2阪神1,曇,4,3歳未勝利,17,7,14,,,取,北村宏司,54,芝1600,稍,,,,36.2-35.3,,計不,マルカエイペックス
25,2019/12/21,5阪神7,晴,1,2歳未勝利,16,4,7,31.6,8.0,11,幸英明,54,ダ1800,稍,1:58.6,2.5,12-12-14-14,36.2-40.3,41.1,440(-2),エイシンワルツ
26,2019/11/30,5阪神1,曇,4,2歳未勝利,15,6,10,57.2,8.0,12,幸英明,54,芝1400,良,1:22.3,1.8,9-9,34.0-35.1,35.8,442(0),メイショウチタン
27,2019/11/10,5京都4,晴,3,2歳未勝利,16,7,13,91.8,12.0,6,幸英明,54,芝1600,良,1:36.0,0.7,9-9,35.4-35.6,35.7,442(-6),オーマイダーリン
28,2019/10/19,4京都6,曇,5,2歳新馬,17,7,13,60.1,11.0,5,幸英明,54,芝1600,重,1:38.2,0.6,2-2,35.0-38.1,38.6,448(0),レディフォリア
